"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP"
29,0.137931034482759,0,0.137931034482759,0,0,0,-0.0344827586206897,0.0344827586206897,0,0,0.0689655172413793,0.0344827586206897,0.103448275862069
33,0.0303030303030303,0.151515151515152,0.181818181818182,0,0,0,-0.121212121212121,0.121212121212121,0,0,0.0909090909090909,0.0303030303030303,0.121212121212121
5,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2
26,0.0769230769230769,0,0.0769230769230769,0,0,0,0,0,0,0,0.0384615384615385,0,0.0384615384615385
25,0.12,0,0.12,0,0,0,0,0,0,0,0.08,0,0.08
23,-0.0434782608695652,0.0869565217391304,0.0434782608695652,0,0,0,0,0,0,0,-0.0434782608695652,0.0434782608695652,0
26,0,0.0769230769230769,0.0769230769230769,0.0384615384615385,0,0.0384615384615385,0.0384615384615385,0,0.0384615384615385,0,0,0.0769230769230769,0.0769230769230769
9,0.111111111111111,0.111111111111111,0.222222222222222,0,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111
16,0.125,0.125,0.25,0,0,0,0,0,0,0,0,0.0625,0.0625
11,-0.181818181818182,0.454545454545455,0.272727272727273,-0.0909090909090909,0.0909090909090909,0,-0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182
24,0.0833333333333333,0.0416666666666667,0.125,0.0416666666666667,0,0.0416666666666667,0,0,0,0,0.0416666666666667,0,0.0416666666666667
7,0.142857142857143,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0,0.142857142857143,0,0.142857142857143
10,0.1,0.1,0.2,0,0,0,0,0,0,0,0.1,0,0.1
10,-0.1,0.2,0.1,0,0,0,-0.2,0.2,0,0,0,0.1,0.1
11,-0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0,-0.181818181818182,0.181818181818182,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182
7,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0,0.142857142857143
27,0.333333333333333,0.148148148148148,0.481481481481481,0.037037037037037,0,0.037037037037037,-0.037037037037037,0.0740740740740741,0.037037037037037,0,0.333333333333333,0.037037037037037,0.37037037037037
22,0.227272727272727,0.0909090909090909,0.318181818181818,0.0454545454545455,0,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,0,0,0.136363636363636,0.136363636363636
8,0.125,0,0.125,0,0,0,0,0,0,0,0.125,0,0.125
17,-0.117647058823529,0.176470588235294,0.0588235294117647,0,0,0,-0.117647058823529,0.176470588235294,0.0588235294117647,0,-0.117647058823529,0.117647058823529,0
25,0.12,0.08,0.2,0.04,0,0.04,-0.04,0.04,0,0,0.12,0,0.12
16,0,0.1875,0.1875,0,0,0,0,0,0,0,0.0625,0.0625,0.125
30,0.0666666666666667,0.1,0.166666666666667,0,0,0,-0.0333333333333333,0.0333333333333333,0,0,0.1,0.0666666666666667,0.166666666666667
21,0,0.142857142857143,0.142857142857143,0.0476190476190476,0,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,0,0,0.142857142857143,0.142857142857143
24,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,-0.0416666666666667,0.125,0.0833333333333333
16,0,0.125,0.125,0,0,0,-0.125,0.125,0,0,0.0625,0.0625,0.125
7,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0
23,0.0869565217391304,0.0869565217391304,0.173913043478261,0.0434782608695652,0,0.0434782608695652,0.0434782608695652,0,0.0434782608695652,0,0.130434782608696,0,0.130434782608696
18,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.0357142857142857,0.0357142857142857,0,0,0,0,0,0,0,0.0714285714285714,0,0.0714285714285714
12,0.333333333333333,0,0.333333333333333,0.0833333333333333,0,0.0833333333333333,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0,0.333333333333333
11,-0.0909090909090909,0.0909090909090909,0,0,0,0,-0.0909090909090909,0.0909090909090909,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04
26,0.0384615384615385,0,0.0384615384615385,0,0,0,0,0,0,0,0.0384615384615385,0,0.0384615384615385
24,0.125,0.0833333333333333,0.208333333333333,0,0,0,-0.0416666666666667,0.0416666666666667,0,0,0.166666666666667,0,0.166666666666667
4,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.19047619047619,0.0476190476190476,0.238095238095238,0,0,0,-0.142857142857143,0.142857142857143,0,0,0.19047619047619,0.0476190476190476,0.238095238095238
3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.4,0,0.4,0.2,0,0.2,0.2,0,0.2,0,0.4,0,0.4
7,0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0,0.142857142857143,0.285714285714286,0,0.285714285714286,0,0.142857142857143,0.142857142857143,0.285714285714286
